name,value,unit,source,derivation
driver_price_rel_us_high_pct,145.000000,per cent,drivers.csv,"the high column for price_rel_us, as a percentage"
driver_price_rel_in_low,0.100000,driver units,drivers.csv,the low column for price_rel_in
driver_price_rel_in_high,0.320000,driver units,drivers.csv,the high column for price_rel_in
driver_price_rel_in_low_pct,10.000000,per cent,drivers.csv,"the low column for price_rel_in, as a percentage"
driver_price_rel_in_high_pct,32.000000,per cent,drivers.csv,"the high column for price_rel_in, as a percentage"
driver_price_rel_row_low,0.550000,driver units,drivers.csv,the low column for price_rel_row
driver_price_rel_row_high,1.050000,driver units,drivers.csv,the high column for price_rel_row
driver_price_rel_row_low_pct,55.000000,per cent,drivers.csv,"the low column for price_rel_row, as a percentage"
driver_price_rel_row_high_pct,105.000000,per cent,drivers.csv,"the high column for price_rel_row, as a percentage"
driver_price_drift_yr_mean,0.015000,driver units,drivers.csv,the mean of the normal prior for price_drift_yr
driver_price_drift_yr_sd,0.030000,driver units,drivers.csv,"the standard deviation of that prior, which is not a bound"
driver_overage_price_frac_low,0.550000,driver units,drivers.csv,the low column for overage_price_frac
driver_overage_price_frac_high,1.450000,driver units,drivers.csv,the high column for overage_price_frac
driver_overage_price_frac_low_pct,55.000000,per cent,drivers.csv,"the low column for overage_price_frac, as a percentage"
driver_overage_price_frac_high_pct,145.000000,per cent,drivers.csv,"the high column for overage_price_frac, as a percentage"
driver_sessions_per_hh_month_low,3.500000,driver units,drivers.csv,the low column for sessions_per_hh_month
driver_sessions_per_hh_month_high,18.000000,driver units,drivers.csv,the high column for sessions_per_hh_month
driver_sessions_per_hh_month_low_pct,350.000000,per cent,drivers.csv,"the low column for sessions_per_hh_month, as a percentage"
driver_sessions_per_hh_month_high_pct,1800.000000,per cent,drivers.csv,"the high column for sessions_per_hh_month, as a percentage"
driver_sessions_cv_low,0.550000,driver units,drivers.csv,the low column for sessions_cv
driver_sessions_cv_high,1.600000,driver units,drivers.csv,the high column for sessions_cv
driver_sessions_cv_low_pct,55.000000,per cent,drivers.csv,"the low column for sessions_cv, as a percentage"
driver_sessions_cv_high_pct,160.000000,per cent,drivers.csv,"the high column for sessions_cv, as a percentage"
driver_usage_season_amp_low,0.100000,driver units,drivers.csv,the low column for usage_season_amp
driver_usage_season_amp_high,0.550000,driver units,drivers.csv,the high column for usage_season_amp
driver_usage_season_amp_low_pct,10.000000,per cent,drivers.csv,"the low column for usage_season_amp, as a percentage"
driver_usage_season_amp_high_pct,55.000000,per cent,drivers.csv,"the high column for usage_season_amp, as a percentage"
driver_churn_base_low,0.030000,driver units,drivers.csv,the low column for churn_base
driver_churn_base_high,0.180000,driver units,drivers.csv,the high column for churn_base
driver_churn_base_low_pct,3.000000,per cent,drivers.csv,"the low column for churn_base, as a percentage"
driver_churn_base_high_pct,18.000000,per cent,drivers.csv,"the high column for churn_base, as a percentage"
driver_churn_m1_extra_low,0.040000,driver units,drivers.csv,the low column for churn_m1_extra
driver_churn_m1_extra_high,0.320000,driver units,drivers.csv,the high column for churn_m1_extra
driver_churn_m1_extra_low_pct,4.000000,per cent,drivers.csv,"the low column for churn_m1_extra, as a percentage"
driver_churn_m1_extra_high_pct,32.000000,per cent,drivers.csv,"the high column for churn_m1_extra, as a percentage"
driver_summer_lapse_pre_low,0.200000,driver units,drivers.csv,the low column for summer_lapse_pre
driver_summer_lapse_pre_high,0.850000,driver units,drivers.csv,the high column for summer_lapse_pre
driver_summer_lapse_pre_low_pct,20.000000,per cent,drivers.csv,"the low column for summer_lapse_pre, as a percentage"
driver_summer_lapse_pre_high_pct,85.000000,per cent,drivers.csv,"the high column for summer_lapse_pre, as a percentage"
driver_progress_continue_low,0.650000,driver units,drivers.csv,the low column for progress_continue
driver_progress_continue_high,0.980000,driver units,drivers.csv,the high column for progress_continue
driver_progress_continue_low_pct,65.000000,per cent,drivers.csv,"the low column for progress_continue, as a percentage"
driver_progress_continue_high_pct,98.000000,per cent,drivers.csv,"the high column for progress_continue, as a percentage"
driver_alevel_continue_low,0.020000,driver units,drivers.csv,the low column for alevel_continue
driver_alevel_continue_high,0.220000,driver units,drivers.csv,the high column for alevel_continue
driver_alevel_continue_low_pct,2.000000,per cent,drivers.csv,"the low column for alevel_continue, as a percentage"
driver_alevel_continue_high_pct,22.000000,per cent,drivers.csv,"the high column for alevel_continue, as a percentage"
driver_alevel_exit_rate_low,0.350000,driver units,drivers.csv,the low column for alevel_exit_rate
driver_alevel_exit_rate_high,0.720000,driver units,drivers.csv,the high column for alevel_exit_rate
driver_alevel_exit_rate_low_pct,35.000000,per cent,drivers.csv,"the low column for alevel_exit_rate, as a percentage"
driver_alevel_exit_rate_high_pct,72.000000,per cent,drivers.csv,"the high column for alevel_exit_rate, as a percentage"
driver_exam_carryover_low,0.000000,driver units,drivers.csv,the low column for exam_carryover
driver_exam_carryover_high,0.100000,driver units,drivers.csv,the high column for exam_carryover
driver_exam_carryover_low_pct,0.000000,per cent,drivers.csv,"the low column for exam_carryover, as a percentage"
driver_exam_carryover_high_pct,10.000000,per cent,drivers.csv,"the high column for exam_carryover, as a percentage"
driver_turns_per_session_low,8.000000,driver units,drivers.csv,the low column for turns_per_session
driver_turns_per_session_high,30.000000,driver units,drivers.csv,the high column for turns_per_session
driver_turns_per_session_low_pct,800.000000,per cent,drivers.csv,"the low column for turns_per_session, as a percentage"
driver_turns_per_session_high_pct,3000.000000,per cent,drivers.csv,"the high column for turns_per_session, as a percentage"
driver_tok_in_per_turn_low,2500.000000,driver units,drivers.csv,the low column for tok_in_per_turn
driver_tok_in_per_turn_high,9000.000000,driver units,drivers.csv,the high column for tok_in_per_turn
driver_tok_in_per_turn_low_pct,250000.000000,per cent,drivers.csv,"the low column for tok_in_per_turn, as a percentage"
driver_tok_in_per_turn_high_pct,900000.000000,per cent,drivers.csv,"the high column for tok_in_per_turn, as a percentage"
driver_tok_out_per_turn_low,250.000000,driver units,drivers.csv,the low column for tok_out_per_turn
driver_tok_out_per_turn_high,900.000000,driver units,drivers.csv,the high column for tok_out_per_turn
driver_tok_out_per_turn_low_pct,25000.000000,per cent,drivers.csv,"the low column for tok_out_per_turn, as a percentage"
driver_tok_out_per_turn_high_pct,90000.000000,per cent,drivers.csv,"the high column for tok_out_per_turn, as a percentage"
driver_price_in_mtok_usd_low,0.150000,driver units,drivers.csv,the low column for price_in_mtok_usd
driver_price_in_mtok_usd_high,3.000000,driver units,drivers.csv,the high column for price_in_mtok_usd
driver_price_in_mtok_usd_low_pct,15.000000,per cent,drivers.csv,"the low column for price_in_mtok_usd, as a percentage"
driver_price_in_mtok_usd_high_pct,300.000000,per cent,drivers.csv,"the high column for price_in_mtok_usd, as a percentage"
driver_price_out_mtok_usd_low,0.600000,driver units,drivers.csv,the low column for price_out_mtok_usd
driver_price_out_mtok_usd_high,15.000000,driver units,drivers.csv,the high column for price_out_mtok_usd
driver_price_out_mtok_usd_low_pct,60.000000,per cent,drivers.csv,"the low column for price_out_mtok_usd, as a percentage"
driver_price_out_mtok_usd_high_pct,1500.000000,per cent,drivers.csv,"the high column for price_out_mtok_usd, as a percentage"
driver_verify_overhead_low,0.120000,driver units,drivers.csv,the low column for verify_overhead
driver_verify_overhead_high,0.850000,driver units,drivers.csv,the high column for verify_overhead
driver_verify_overhead_low_pct,12.000000,per cent,drivers.csv,"the low column for verify_overhead, as a percentage"
driver_verify_overhead_high_pct,85.000000,per cent,drivers.csv,"the high column for verify_overhead, as a percentage"
driver_gate_fire_rate_low,0.020000,driver units,drivers.csv,the low column for gate_fire_rate
driver_gate_fire_rate_high,0.280000,driver units,drivers.csv,the high column for gate_fire_rate
driver_gate_fire_rate_low_pct,2.000000,per cent,drivers.csv,"the low column for gate_fire_rate, as a percentage"
driver_gate_fire_rate_high_pct,28.000000,per cent,drivers.csv,"the high column for gate_fire_rate, as a percentage"
driver_infer_decline_yr_low,0.080000,driver units,drivers.csv,the low column for infer_decline_yr
driver_infer_decline_yr_high,0.550000,driver units,drivers.csv,the high column for infer_decline_yr
driver_infer_decline_yr_low_pct,8.000000,per cent,drivers.csv,"the low column for infer_decline_yr, as a percentage"
driver_infer_decline_yr_high_pct,55.000000,per cent,drivers.csv,"the high column for infer_decline_yr, as a percentage"
driver_support_min_hh_month_low,0.400000,driver units,drivers.csv,the low column for support_min_hh_month
driver_support_min_hh_month_high,6.000000,driver units,drivers.csv,the high column for support_min_hh_month
driver_support_min_hh_month_low_pct,40.000000,per cent,drivers.csv,"the low column for support_min_hh_month, as a percentage"
driver_support_min_hh_month_high_pct,600.000000,per cent,drivers.csv,"the high column for support_min_hh_month, as a percentage"
driver_support_usd_hr_low,3.000000,driver units,drivers.csv,the low column for support_usd_hr
driver_support_usd_hr_high,9.500000,driver units,drivers.csv,the high column for support_usd_hr
driver_support_usd_hr_low_pct,300.000000,per cent,drivers.csv,"the low column for support_usd_hr, as a percentage"
driver_support_usd_hr_high_pct,950.000000,per cent,drivers.csv,"the high column for support_usd_hr, as a percentage"
driver_pay_pct_low,0.019000,driver units,drivers.csv,the low column for pay_pct
driver_pay_pct_high,0.037000,driver units,drivers.csv,the high column for pay_pct
driver_pay_pct_low_pct,1.900000,per cent,drivers.csv,"the low column for pay_pct, as a percentage"
driver_pay_pct_high_pct,3.700000,per cent,drivers.csv,"the high column for pay_pct, as a percentage"
driver_pay_fixed_usd_low,0.180000,driver units,drivers.csv,the low column for pay_fixed_usd
driver_pay_fixed_usd_high,0.450000,driver units,drivers.csv,the high column for pay_fixed_usd
driver_pay_fixed_usd_low_pct,18.000000,per cent,drivers.csv,"the low column for pay_fixed_usd, as a percentage"
driver_pay_fixed_usd_high_pct,45.000000,per cent,drivers.csv,"the high column for pay_fixed_usd, as a percentage"
driver_hosting_hh_usd_low,0.040000,driver units,drivers.csv,the low column for hosting_hh_usd
driver_hosting_hh_usd_high,0.600000,driver units,drivers.csv,the high column for hosting_hh_usd
driver_hosting_hh_usd_low_pct,4.000000,per cent,drivers.csv,"the low column for hosting_hh_usd, as a percentage"
driver_hosting_hh_usd_high_pct,60.000000,per cent,drivers.csv,"the high column for hosting_hh_usd, as a percentage"
driver_verif_cost_usd_low,0.120000,driver units,drivers.csv,the low column for verif_cost_usd
driver_verif_cost_usd_high,7.000000,driver units,drivers.csv,the high column for verif_cost_usd
driver_verif_cost_usd_low_pct,12.000000,per cent,drivers.csv,"the low column for verif_cost_usd, as a percentage"
driver_verif_cost_usd_high_pct,700.000000,per cent,drivers.csv,"the high column for verif_cost_usd, as a percentage"
driver_minutes_per_item_low,4.000000,driver units,drivers.csv,the low column for minutes_per_item
driver_minutes_per_item_high,30.000000,driver units,drivers.csv,the high column for minutes_per_item
driver_minutes_per_item_low_pct,400.000000,per cent,drivers.csv,"the low column for minutes_per_item, as a percentage"
driver_minutes_per_item_high_pct,3000.000000,per cent,drivers.csv,"the high column for minutes_per_item, as a percentage"
driver_examiner_rate_gbp_hr_low,22.000000,driver units,drivers.csv,the low column for examiner_rate_gbp_hr
driver_examiner_rate_gbp_hr_high,78.000000,driver units,drivers.csv,the high column for examiner_rate_gbp_hr
driver_examiner_rate_gbp_hr_low_pct,2200.000000,per cent,drivers.csv,"the low column for examiner_rate_gbp_hr, as a percentage"
driver_examiner_rate_gbp_hr_high_pct,7800.000000,per cent,drivers.csv,"the high column for examiner_rate_gbp_hr, as a percentage"
driver_writer_gbp_item_low,5.000000,driver units,drivers.csv,the low column for writer_gbp_item
driver_writer_gbp_item_high,36.000000,driver units,drivers.csv,the high column for writer_gbp_item
driver_writer_gbp_item_low_pct,500.000000,per cent,drivers.csv,"the low column for writer_gbp_item, as a percentage"
driver_writer_gbp_item_high_pct,3600.000000,per cent,drivers.csv,"the high column for writer_gbp_item, as a percentage"
driver_items_per_unit_low,1800.000000,driver units,drivers.csv,the low column for items_per_unit
driver_items_per_unit_high,6000.000000,driver units,drivers.csv,the high column for items_per_unit
driver_items_per_unit_low_pct,180000.000000,per cent,drivers.csv,"the low column for items_per_unit, as a percentage"
driver_items_per_unit_high_pct,600000.000000,per cent,drivers.csv,"the high column for items_per_unit, as a percentage"
driver_board_reuse_low,0.500000,driver units,drivers.csv,the low column for board_reuse
driver_board_reuse_high,0.920000,driver units,drivers.csv,the high column for board_reuse
driver_board_reuse_low_pct,50.000000,per cent,drivers.csv,"the low column for board_reuse, as a percentage"
driver_board_reuse_high_pct,92.000000,per cent,drivers.csv,"the high column for board_reuse, as a percentage"
driver_market_reuse_low,0.100000,driver units,drivers.csv,the low column for market_reuse
driver_market_reuse_high,0.600000,driver units,drivers.csv,the high column for market_reuse
driver_market_reuse_low_pct,10.000000,per cent,drivers.csv,"the low column for market_reuse, as a percentage"
driver_market_reuse_high_pct,60.000000,per cent,drivers.csv,"the high column for market_reuse, as a percentage"
driver_reval_frac_yr_low,0.040000,driver units,drivers.csv,the low column for reval_frac_yr
driver_reval_frac_yr_high,0.280000,driver units,drivers.csv,the high column for reval_frac_yr
driver_reval_frac_yr_low_pct,4.000000,per cent,drivers.csv,"the low column for reval_frac_yr, as a percentage"
driver_reval_frac_yr_high_pct,28.000000,per cent,drivers.csv,"the high column for reval_frac_yr, as a percentage"
driver_eng_usd_yr_low,14000.000000,driver units,drivers.csv,the low column for eng_usd_yr
driver_eng_usd_yr_high,45000.000000,driver units,drivers.csv,the high column for eng_usd_yr
driver_eng_usd_yr_low_pct,1400000.000000,per cent,drivers.csv,"the low column for eng_usd_yr, as a percentage"
driver_eng_usd_yr_high_pct,4500000.000000,per cent,drivers.csv,"the high column for eng_usd_yr, as a percentage"
driver_uk_gbp_yr_low,45000.000000,driver units,drivers.csv,the low column for uk_gbp_yr
driver_uk_gbp_yr_high,98000.000000,driver units,drivers.csv,the high column for uk_gbp_yr
driver_uk_gbp_yr_low_usd,57150.000000,USD,drivers.csv,the low column for uk_gbp_yr converted at the fixed rate in constants.csv
driver_uk_gbp_yr_high_usd,124460.000000,USD,drivers.csv,the high column for uk_gbp_yr converted at the fixed rate in constants.csv
driver_uk_gbp_yr_low_pct,4500000.000000,per cent,drivers.csv,"the low column for uk_gbp_yr, as a percentage"
driver_uk_gbp_yr_high_pct,9800000.000000,per cent,drivers.csv,"the high column for uk_gbp_yr, as a percentage"
driver_overhead_mult_low,1.120000,driver units,drivers.csv,the low column for overhead_mult
driver_overhead_mult_high,1.480000,driver units,drivers.csv,the high column for overhead_mult
driver_overhead_mult_low_pct,112.000000,per cent,drivers.csv,"the low column for overhead_mult, as a percentage"
driver_overhead_mult_high_pct,148.000000,per cent,drivers.csv,"the high column for overhead_mult, as a percentage"
driver_units_per_content_head_low,0.500000,driver units,drivers.csv,the low column for units_per_content_head
driver_units_per_content_head_high,2.600000,driver units,drivers.csv,the high column for units_per_content_head
driver_units_per_content_head_low_pct,50.000000,per cent,drivers.csv,"the low column for units_per_content_head, as a percentage"
driver_units_per_content_head_high_pct,260.000000,per cent,drivers.csv,"the high column for units_per_content_head, as a percentage"
driver_eng_ramp_mult_low,0.700000,driver units,drivers.csv,the low column for eng_ramp_mult
driver_eng_ramp_mult_high,1.600000,driver units,drivers.csv,the high column for eng_ramp_mult
driver_eng_ramp_mult_low_pct,70.000000,per cent,drivers.csv,"the low column for eng_ramp_mult, as a percentage"
driver_eng_ramp_mult_high_pct,160.000000,per cent,drivers.csv,"the high column for eng_ramp_mult, as a percentage"
driver_cac_anchor_usd_low,8.000000,driver units,drivers.csv,the low column for cac_anchor_usd
driver_cac_anchor_usd_high,130.000000,driver units,drivers.csv,the high column for cac_anchor_usd
driver_cac_anchor_usd_low_pct,800.000000,per cent,drivers.csv,"the low column for cac_anchor_usd, as a percentage"
driver_cac_anchor_usd_high_pct,13000.000000,per cent,drivers.csv,"the high column for cac_anchor_usd, as a percentage"
driver_cac_rel_us_low,0.900000,driver units,drivers.csv,the low column for cac_rel_us
driver_cac_rel_us_high,2.400000,driver units,drivers.csv,the high column for cac_rel_us
driver_cac_rel_us_low_pct,90.000000,per cent,drivers.csv,"the low column for cac_rel_us, as a percentage"
driver_cac_rel_us_high_pct,240.000000,per cent,drivers.csv,"the high column for cac_rel_us, as a percentage"
driver_cac_rel_in_low,0.150000,driver units,drivers.csv,the low column for cac_rel_in
driver_cac_rel_in_high,0.800000,driver units,drivers.csv,the high column for cac_rel_in
driver_cac_rel_in_low_pct,15.000000,per cent,drivers.csv,"the low column for cac_rel_in, as a percentage"
driver_cac_rel_in_high_pct,80.000000,per cent,drivers.csv,"the high column for cac_rel_in, as a percentage"
driver_cac_rel_row_low,0.600000,driver units,drivers.csv,the low column for cac_rel_row
driver_cac_rel_row_high,1.800000,driver units,drivers.csv,the high column for cac_rel_row
driver_cac_rel_row_low_pct,60.000000,per cent,drivers.csv,"the low column for cac_rel_row, as a percentage"
driver_cac_rel_row_high_pct,180.000000,per cent,drivers.csv,"the high column for cac_rel_row, as a percentage"
driver_sat_kappa_low,0.120000,driver units,drivers.csv,the low column for sat_kappa
driver_sat_kappa_high,0.800000,driver units,drivers.csv,the high column for sat_kappa
driver_sat_kappa_low_pct,12.000000,per cent,drivers.csv,"the low column for sat_kappa, as a percentage"
driver_sat_kappa_high_pct,80.000000,per cent,drivers.csv,"the high column for sat_kappa, as a percentage"
driver_cac_ref_spend_usd_low,2500.000000,driver units,drivers.csv,the low column for cac_ref_spend_usd
driver_cac_ref_spend_usd_high,70000.000000,driver units,drivers.csv,the high column for cac_ref_spend_usd
driver_cac_ref_spend_usd_low_pct,250000.000000,per cent,drivers.csv,"the low column for cac_ref_spend_usd, as a percentage"
driver_cac_ref_spend_usd_high_pct,7000000.000000,per cent,drivers.csv,"the high column for cac_ref_spend_usd, as a percentage"
driver_pool_pressure_psi_low,0.250000,driver units,drivers.csv,the low column for pool_pressure_psi
driver_pool_pressure_psi_high,1.600000,driver units,drivers.csv,the high column for pool_pressure_psi
driver_pool_pressure_psi_low_pct,25.000000,per cent,drivers.csv,"the low column for pool_pressure_psi, as a percentage"
driver_pool_pressure_psi_high_pct,160.000000,per cent,drivers.csv,"the high column for pool_pressure_psi, as a percentage"
driver_creator_share_low,0.000000,driver units,drivers.csv,the low column for creator_share
driver_creator_share_high,0.600000,driver units,drivers.csv,the high column for creator_share
driver_creator_share_low_pct,0.000000,per cent,drivers.csv,"the low column for creator_share, as a percentage"
driver_creator_share_high_pct,60.000000,per cent,drivers.csv,"the high column for creator_share, as a percentage"
driver_creator_cac_rel_low,0.150000,driver units,drivers.csv,the low column for creator_cac_rel
driver_creator_cac_rel_high,0.950000,driver units,drivers.csv,the high column for creator_cac_rel
driver_creator_cac_rel_low_pct,15.000000,per cent,drivers.csv,"the low column for creator_cac_rel, as a percentage"
driver_creator_cac_rel_high_pct,95.000000,per cent,drivers.csv,"the high column for creator_cac_rel, as a percentage"
driver_pool_uk_low,40000.000000,driver units,drivers.csv,the low column for pool_uk
driver_pool_uk_high,1200000.000000,driver units,drivers.csv,the high column for pool_uk
driver_pool_uk_low_pct,4000000.000000,per cent,drivers.csv,"the low column for pool_uk, as a percentage"
driver_pool_uk_high_pct,120000000.000000,per cent,drivers.csv,"the high column for pool_uk, as a percentage"
driver_pool_rel_us_low,0.800000,driver units,drivers.csv,the low column for pool_rel_us
driver_pool_rel_us_high,9.000000,driver units,drivers.csv,the high column for pool_rel_us
driver_pool_rel_us_low_pct,80.000000,per cent,drivers.csv,"the low column for pool_rel_us, as a percentage"
driver_pool_rel_us_high_pct,900.000000,per cent,drivers.csv,"the high column for pool_rel_us, as a percentage"
driver_pool_rel_in_low,0.500000,driver units,drivers.csv,the low column for pool_rel_in
driver_pool_rel_in_high,30.000000,driver units,drivers.csv,the high column for pool_rel_in
driver_pool_rel_in_low_pct,50.000000,per cent,drivers.csv,"the low column for pool_rel_in, as a percentage"
driver_pool_rel_in_high_pct,3000.000000,per cent,drivers.csv,"the high column for pool_rel_in, as a percentage"
driver_pool_rel_row_low,0.300000,driver units,drivers.csv,the low column for pool_rel_row
driver_pool_rel_row_high,4.000000,driver units,drivers.csv,the high column for pool_rel_row
driver_pool_rel_row_low_pct,30.000000,per cent,drivers.csv,"the low column for pool_rel_row, as a percentage"
driver_pool_rel_row_high_pct,400.000000,per cent,drivers.csv,"the high column for pool_rel_row, as a percentage"
driver_acq_season_amp_low,0.150000,driver units,drivers.csv,the low column for acq_season_amp
driver_acq_season_amp_high,0.800000,driver units,drivers.csv,the high column for acq_season_amp
driver_acq_season_amp_low_pct,15.000000,per cent,drivers.csv,"the low column for acq_season_amp, as a percentage"
driver_acq_season_amp_high_pct,80.000000,per cent,drivers.csv,"the high column for acq_season_amp, as a percentage"
driver_seg_mix_exam_low,0.400000,driver units,drivers.csv,the low column for seg_mix_exam
driver_seg_mix_exam_high,0.850000,driver units,drivers.csv,the high column for seg_mix_exam
driver_seg_mix_exam_low_pct,40.000000,per cent,drivers.csv,"the low column for seg_mix_exam, as a percentage"
driver_seg_mix_exam_high_pct,85.000000,per cent,drivers.csv,"the high column for seg_mix_exam, as a percentage"
driver_seg_mix_alevel_low,0.030000,driver units,drivers.csv,the low column for seg_mix_alevel
driver_seg_mix_alevel_high,0.250000,driver units,drivers.csv,the high column for seg_mix_alevel
driver_seg_mix_alevel_low_pct,3.000000,per cent,drivers.csv,"the low column for seg_mix_alevel, as a percentage"
driver_seg_mix_alevel_high_pct,25.000000,per cent,drivers.csv,"the high column for seg_mix_alevel, as a percentage"
driver_acq_pct_of_rev_low,0.120000,driver units,drivers.csv,the low column for acq_pct_of_rev
driver_acq_pct_of_rev_high,0.650000,driver units,drivers.csv,the high column for acq_pct_of_rev
driver_acq_pct_of_rev_low_pct,12.000000,per cent,drivers.csv,"the low column for acq_pct_of_rev, as a percentage"
driver_acq_pct_of_rev_high_pct,65.000000,per cent,drivers.csv,"the high column for acq_pct_of_rev, as a percentage"
driver_acq_launch_ramp_low,6000.000000,driver units,drivers.csv,the low column for acq_launch_ramp
driver_acq_launch_ramp_high,120000.000000,driver units,drivers.csv,the high column for acq_launch_ramp
driver_acq_launch_ramp_low_pct,600000.000000,per cent,drivers.csv,"the low column for acq_launch_ramp, as a percentage"
driver_acq_launch_ramp_high_pct,12000000.000000,per cent,drivers.csv,"the high column for acq_launch_ramp, as a percentage"
driver_shock_rho_low,0.450000,driver units,drivers.csv,the low column for shock_rho
driver_shock_rho_high,0.950000,driver units,drivers.csv,the high column for shock_rho
driver_shock_rho_low_pct,45.000000,per cent,drivers.csv,"the low column for shock_rho, as a percentage"
driver_shock_rho_high_pct,95.000000,per cent,drivers.csv,"the high column for shock_rho, as a percentage"
driver_shock_sd_low,0.040000,driver units,drivers.csv,the low column for shock_sd
driver_shock_sd_high,0.320000,driver units,drivers.csv,the high column for shock_sd
driver_shock_sd_low_pct,4.000000,per cent,drivers.csv,"the low column for shock_sd, as a percentage"
driver_shock_sd_high_pct,32.000000,per cent,drivers.csv,"the high column for shock_sd, as a percentage"
driver_school_seats_low,40.000000,driver units,drivers.csv,the low column for school_seats
driver_school_seats_high,420.000000,driver units,drivers.csv,the high column for school_seats
driver_school_seats_low_pct,4000.000000,per cent,drivers.csv,"the low column for school_seats, as a percentage"
driver_school_seats_high_pct,42000.000000,per cent,drivers.csv,"the high column for school_seats, as a percentage"
driver_school_gbp_seat_yr_low,3.500000,driver units,drivers.csv,the low column for school_gbp_seat_yr
driver_school_gbp_seat_yr_high,32.000000,driver units,drivers.csv,the high column for school_gbp_seat_yr
driver_school_gbp_seat_yr_low_pct,350.000000,per cent,drivers.csv,"the low column for school_gbp_seat_yr, as a percentage"
driver_school_gbp_seat_yr_high_pct,3200.000000,per cent,drivers.csv,"the high column for school_gbp_seat_yr, as a percentage"
driver_school_win_rate_low,0.030000,driver units,drivers.csv,the low column for school_win_rate
driver_school_win_rate_high,0.280000,driver units,drivers.csv,the high column for school_win_rate
driver_school_win_rate_low_pct,3.000000,per cent,drivers.csv,"the low column for school_win_rate, as a percentage"
driver_school_win_rate_high_pct,28.000000,per cent,drivers.csv,"the high column for school_win_rate, as a percentage"
driver_school_rep_pipeline_yr_low,12.000000,driver units,drivers.csv,the low column for school_rep_pipeline_yr
driver_school_rep_pipeline_yr_high,60.000000,driver units,drivers.csv,the high column for school_rep_pipeline_yr
driver_school_rep_pipeline_yr_low_pct,1200.000000,per cent,drivers.csv,"the low column for school_rep_pipeline_yr, as a percentage"
driver_school_rep_pipeline_yr_high_pct,6000.000000,per cent,drivers.csv,"the high column for school_rep_pipeline_yr, as a percentage"
driver_school_renewal_low,0.450000,driver units,drivers.csv,the low column for school_renewal
driver_school_renewal_high,0.920000,driver units,drivers.csv,the high column for school_renewal
driver_school_renewal_low_pct,45.000000,per cent,drivers.csv,"the low column for school_renewal, as a percentage"
driver_school_renewal_high_pct,92.000000,per cent,drivers.csv,"the high column for school_renewal, as a percentage"
driver_school_cycle_m_low,6.000000,driver units,drivers.csv,the low column for school_cycle_m
driver_school_cycle_m_high,18.000000,driver units,drivers.csv,the high column for school_cycle_m
driver_school_cycle_m_low_pct,600.000000,per cent,drivers.csv,"the low column for school_cycle_m, as a percentage"
driver_school_cycle_m_high_pct,1800.000000,per cent,drivers.csv,"the high column for school_cycle_m, as a percentage"
driver_us_sales_tax_eff_low,0.000000,driver units,drivers.csv,the low column for us_sales_tax_eff
driver_us_sales_tax_eff_high,0.085000,driver units,drivers.csv,the high column for us_sales_tax_eff
driver_us_sales_tax_eff_low_pct,0.000000,per cent,drivers.csv,"the low column for us_sales_tax_eff, as a percentage"
driver_us_sales_tax_eff_high_pct,8.500000,per cent,drivers.csv,"the high column for us_sales_tax_eff, as a percentage"
driver_step_entity_setup_usd_low,9000.000000,driver units,drivers.csv,the low column for step_entity_setup_usd
